Zip Code,City,County,Population â
12209,Albany,Albany County,10427
14467,Henrietta,Monroe County,10381
10930,Highland Mills,Orange County,10326
13357,Ilion,Herkimer County,10301
11518,East Rockaway,Nassau County,10294
10992,Washingtonville,Orange County,10284
10707,Tuckahoe,Westchester County,10209
12061,East Greenbush,Rensselaer County,10179
14502,Macedon,Wayne County,10135
10709,Eastchester,Westchester County,10085
11716,Bohemia,Suffolk County,10074
11771,Oyster Bay,Nassau County,10068
12414,Catskill,Greene County,10065
14870,Painted Post,Steuben County,9970
12210,Albany,Albany County,9873
12202,Albany,Albany County,9700
11023,Great Neck,Nassau County,9699
13350,Herkimer,Herkimer County,9695
14031,Clarence,Erie County,9685
13037,Chittenango,Madison County,9669
14059,Elma,Erie County,9629
12569,Pleasant Valley,Dutchess County,9603
12828,Fort Edward,Washington County,9590
14522,Palmyra,Wayne County,9575
11096,Inwood,Nassau County,9567
13165,Waterloo,Seneca County,9511
13904,Binghamton,Broome County,9499
14006,Angola,Erie County,9402
10523,Elmsford,Westchester County,9389
12540,Lagrangeville,Dutchess County,9297
12572,Rhinebeck,Dutchess County,9287
11777,Port Jefferson,Suffolk County,9257
13642,Gouverneur,St. Lawrence County,9237
12571,Red Hook,Dutchess County,9235
11797,Woodbury,Nassau County,9203
14001,Akron,Erie County,9199
14437,Dansville,Livingston County,9168
14895,Wellsville,Allegany County,9168
11752,Islip Terrace,Suffolk County,9164
14472,Honeoye Falls,Monroe County,9139
11024,Great Neck,Nassau County,9105
11769,Oakdale,Suffolk County,9081
10706,Hastings On Hudson,Westchester County,9068
13036,Central Square,Oswego County,9020
11565,Malverne,Nassau County,9013
11713,Bellport,Suffolk County,8905
13214,Syracuse,Onondaga County,8899
13224,Syracuse,Onondaga County,8881
14905,Elmira,Chemung County,8852
10280,New York,New York County,8843
12803,South Glens Falls,Saratoga County,8828
10005,New York,New York County,8801
11559,Lawrence,Nassau County,8732
12204,Albany,Albany County,8728
13367,Lowville,Lewis County,8682
14209,Buffalo,Erie County,8677
12159,Slingerlands,Albany County,8663
11558,Island Park,Nassau County,8660
10018,New York,New York County,8659
10989,Valley Cottage,Rockland County,8651
10920,Congers,Rockland County,8605
11792,Wading River,Suffolk County,8595
13035,Cazenovia,Madison County,8476
11516,Cedarhurst,Nassau County,8450
13365,Little Falls,Herkimer County,8449
11963,Sag Harbor,Suffolk County,8445
10923,Garnerville,Rockland County,8419
11705,Bayport,Suffolk County,8409
14482,Le Roy,Genesee County,8393
13244,Syracuse,Onondaga County,8384
12009,Altamont,Albany County,8322
14085,Lake View,Erie County,8298
11557,Hewlett,Nassau County,8290
10579,Putnam Valley,Putnam County,8171
10504,Armonk,Westchester County,8047
14068,Getzville,Erie County,7990
13029,Brewerton,Onondaga County,7878
12721,Bloomingburg,Sullivan County,7872
12307,Schenectady,Schenectady County,7863
14589,Williamson,Wayne County,7838
12754,Liberty,Sullivan County,7800
11934,Center Moriches,Suffolk County,7778
12043,Cobleskill,Schoharie County,7719
14011,Attica,Wyoming County,7711
12564,Pawling,Dutchess County,7700
13152,Skaneateles,Onondaga County,7700
12563,Patterson,Putnam County,7691
14445,East Rochester,Monroe County,7689
14057,Eden,Erie County,7688
14204,Buffalo,Erie County,7666
10547,Mohegan Lake,Westchester County,7665
14470,Holley,Orleans County,7654
12033,Castleton On Hudson,Rensselaer County,7640
13732,Apalachin,Tioga County,7607
14892,Waverly,Tioga County,7552
10007,New York,New York County,7506
14141,Springville,Erie County,7492
13340,Frankfort,Herkimer County,7479
11789,Sound Beach,Suffolk County,7434
10590,South Salem,Westchester County,7407
13114,Mexico,Oswego County,7397
10533,Irvington,Westchester County,7388
11363,Little Neck,Queens County,7365
12983,Saranac Lake,Franklin County,7336
13202,Syracuse,Onondaga County,7331
12018,Averill Park,Rensselaer County,7300
14428,Churchville,Monroe County,7297
12184,Valatie,Columbia County,7288
11109,Long Island City,Queens County,7280
10595,Valhalla,Westchester County,7213
10589,Somers,Westchester County,7159
12198,Wynantskill,Rensselaer County,7150
11507,Albertson,Nassau County,7111
14903,Elmira,Chemung County,7090
13403,Marcy,Oneida County,7087
14489,Lyons,Wayne County,7054
12972,Peru,Clinton County,7049
11560,Locust Valley,Nassau County,7043
12428,Ellenville,Ulster County,7032
11933,Calverton,Suffolk County,6975
12570,Poughquag,Dutchess County,6923
12305,Schenectady,Schenectady County,6922
14779,Salamanca,Cattaraugus County,6899
14414,Avon,Livingston County,6783
10607,White Plains,Westchester County,6764
11709,Bayville,Nassau County,6763
12077,Glenmont,Albany County,6752
14132,Sanborn,Niagara County,6689
14464,Hamlin,Monroe County,6656
13077,Homer,Cortland County,6646
11721,Centerport,Suffolk County,6569
11786,Shoreham,Suffolk County,6559
14886,Trumansburg,Tompkins County,6544
13073,Groton,Tompkins County,6514
14530,Perry,Wyoming County,6498
12832,Granville,Washington County,6486
10282,New York,New York County,6450
13902,Binghamton,Broome County,6405
10507,Bedford Hills,Westchester County,6403
14569,Warsaw,Wyoming County,6387
10996,West Point,Orange County,6386
12222,Albany,Albany County,6358
10994,West Nyack,Rockland County,6357
14568,Walworth,Wayne County,6349
10506,Bedford,Westchester County,6340
12186,Voorheesville,Albany County,6325
13135,Phoenix,Oswego County,6296
11971,Southold,Suffolk County,6286
13108,Marcellus,Onondaga County,6284
12834,Greenwich,Washington County,6261
10069,New York,New York County,6259
13346,Hamilton,Madison County,6244
12822,Corinth,Saratoga County,6200
14070,Gowanda,Cattaraugus County,6186
12582,Stormville,Dutchess County,6168
14303,Niagara Falls,Niagara County,6159
14047,Derby,Erie County,6147
10577,Purchase,Westchester County,6145
11020,Great Neck,Nassau County,6145
13339,Fort Plain,Montgomery County,6084
13856,Walton,Delaware County,6063
14706,Allegany,Cattaraugus County,6051
12051,Coxsackie,Greene County,6050
12158,Selkirk,Albany County,6045
13142,Pulaski,Oswego County,6044
13865,Windsor,Broome County,6000
13211,Syracuse,Onondaga County,5968
14469,Bloomfield,Ontario County,5937
13316,Camden,Oneida County,5912
14514,North Chili,Monroe County,5899
12518,Cornwall,Orange County,5861
13118,Moravia,Cayuga County,5811
13309,Boonville,Oneida County,5805
12090,Hoosick Falls,Rensselaer County,5782
13166,Weedsport,Cayuga County,5758
